White,Red,Green,Blue,Total,color_label
19,11,10,13,23,black
19,11,10,14,22,black
22,10,11,15,30,black
19,10,9,14,24,black
19,10,9,14,24,black
21,10,9,14,30,black
22,10,11,15,30,black
19,11,10,13,23,black
20,10,10,14,26,black
20,11,11,15,23,black
19,11,9,14,23,black
19,10,9,14,24,black
20,10,11,14,25,black
20,11,11,14,24,black
19,10,9,14,24,black
22,9,11,14,32,black
21,10,11,15,27,black
19,10,9,14,24,black
19,10,9,14,24,black
22,11,11,15,29,black
20,11,10,13,26,black
22,10,12,15,29,black
19,11,11,13,22,black
19,10,9,14,24,black
21,10,10,14,29,black
20,11,10,14,25,black
20,10,10,14,26,black
22,10,10,13,33,black
19,10,9,14,24,black
20,10,9,14,27,black
22,10,11,15,30,black
19,10,10,14,23,black
22,9,11,14,32,black
22,10,11,15,30,black
19,11,10,14,22,black
20,10,9,14,27,black
22,10,11,15,30,black
19,10,10,13,24,black
19,10,10,14,23,black
20,11,11,14,24,black
19,11,9,14,23,black
22,9,11,14,32,black
21,11,11,13,28,black
19,10,9,14,24,black
21,9,11,14,29,black
19,11,10,13,23,black
19,10,9,14,24,black
21,11,11,15,26,black
19,10,10,13,24,black
19,10,10,14,23,black
20,11,10,15,24,black
19,11,9,14,23,black
21,10,11,14,28,black
20,11,10,14,25,black
20,10,10,14,26,black
20,11,10,13,26,black
19,10,9,14,24,black
19,10,9,14,24,black
22,10,11,14,31,black
20,11,10,13,26,black
20,10,11,14,25,black
20,11,10,13,26,black
19,10,9,14,24,black
21,10,10,14,29,black
20,10,10,13,27,black
20,10,10,14,26,black
21,11,10,13,29,black
19,11,9,14,23,black
19,10,10,14,23,black
22,10,11,15,30,black
20,11,10,14,25,black
21,10,10,14,29,black
21,11,10,13,29,black
19,11,10,14,22,black
21,10,11,15,27,black
19,10,10,13,24,black
19,10,9,14,24,black
22,10,11,15,30,black
20,11,10,13,26,black
20,10,9,14,27,black
22,9,11,14,32,black
21,11,10,13,29,black
19,10,9,14,24,black
21,9,11,15,28,black
21,11,11,15,26,black
19,11,9,14,23,black
20,10,9,14,27,black
21,10,11,14,28,black
19,11,10,13,23,black
19,10,9,14,24,black
22,11,11,15,29,black
19,11,10,13,23,black
19,10,10,14,23,black
22,10,11,15,30,black
19,11,10,13,23,black
19,10,9,14,24,black
21,10,11,15,27,black
19,10,10,14,23,black
21,9,11,14,29,black
20,10,10,13,27,black
19,10,9,14,24,black
22,9,11,14,32,black
21,11,11,15,26,black
19,10,9,14,24,black
20,10,9,14,27,black
22,11,11,15,29,black
19,11,10,13,23,black
20,9,11,15,25,black
22,11,11,15,29,black
19,10,10,14,23,black
22,10,11,15,30,black
19,11,10,14,22,black
21,9,11,14,29,black
22,11,11,13,31,black
19,10,9,14,24,black
19,10,9,14,24,black
22,10,11,15,30,black
20,11,10,13,26,black
20,10,11,15,24,black
19,11,10,13,23,black
19,9,11,14,23,black
22,10,11,15,30,black
19,10,9,14,24,black
19,10,9,14,24,black
21,10,11,15,27,black
19,11,10,13,23,black
19,10,9,14,24,black
22,9,11,14,32,black
22,10,11,15,30,black
19,10,9,14,24,black
20,10,10,14,26,black
21,11,10,13,29,black
19,10,9,14,24,black
20,9,11,14,26,black
22,10,11,15,30,black
19,11,10,14,22,black
21,10,10,14,29,black
20,11,10,13,26,black
20,10,10,14,26,black
20,11,10,13,26,black
19,10,9,14,24,black
20,10,10,14,26,black
20,11,11,15,23,black
19,11,11,13,22,black
20,10,9,14,27,black
21,10,10,14,29,black
19,10,10,13,24,black
19,10,9,14,24,black
19,10,11,14,22,black
21,11,10,15,27,black
19,11,9,14,23,black
21,10,10,14,29,black
21,11,10,12,30,black
19,11,9,14,23,black
19,10,9,14,24,black
22,10,11,14,31,black
19,10,10,13,24,black
22,10,11,14,31,black
20,11,10,13,26,black
19,10,9,14,24,black
20,10,9,14,27,black
20,9,12,15,24,black
21,10,11,15,27,black
19,11,10,14,22,black
21,10,11,14,28,black
20,11,10,13,26,black
20,10,9,14,27,black
21,10,10,14,29,black
20,11,10,13,26,black
19,10,9,14,24,black
22,10,11,15,30,black
19,11,10,13,23,black
20,10,9,14,27,black
21,10,10,14,29,black
20,11,10,13,26,black
20,10,9,14,27,black
21,10,11,15,27,black
19,11,10,13,23,black
19,10,9,14,24,black
22,9,11,14,32,black
22,10,11,15,30,black
19,11,10,13,23,black
19,10,9,14,24,black
22,10,11,15,30,black
20,11,10,13,26,black
21,10,11,15,27,black
20,11,11,15,23,black
19,10,9,14,24,black
20,10,11,14,25,black
20,11,10,13,26,black
19,10,10,14,23,black
21,10,11,15,27,black
20,11,10,14,25,black
19,10,11,15,21,black
19,10,10,13,24,black
20,10,9,14,27,black
22,9,11,15,31,black
22,11,11,15,29,black
19,11,9,14,23,black
19,10,9,14,24,black
20,10,12,14,24,black
19,11,10,13,23,black
19,10,10,14,23,black
21,11,11,15,26,black
19,10,9,14,24,black
20,10,9,14,27,black
21,10,11,15,27,black
19,11,10,13,23,black
19,11,9,14,23,black
21,10,10,14,29,black
21,11,11,14,27,black
19,10,9,14,24,black
20,11,9,14,26,black
21,10,11,15,27,black
20,11,10,13,26,black
19,10,10,14,23,black
22,10,11,15,30,black
19,10,9,14,24,black
19,10,9,14,24,black
21,9,11,15,28,black
20,11,10,14,25,black
19,10,9,14,24,black
20,10,10,14,26,black
22,10,11,15,30,black
19,10,9,14,24,black
20,10,10,14,26,black
21,11,10,13,29,black
19,10,9,14,24,black
21,10,11,15,27,black
19,11,10,13,23,black
19,11,10,14,22,black
20,11,11,15,23,black
20,10,9,14,27,black
19,10,9,14,24,black
20,10,9,14,27,black
22,10,11,15,30,black
20,11,10,13,26,black
20,10,10,14,26,black
21,10,11,15,27,black
19,10,10,13,24,black
19,10,9,14,24,black
21,10,11,15,27,black
20,11,10,13,26,black
19,10,11,14,22,black
21,11,11,15,26,black
19,11,10,14,22,black
20,10,10,14,26,black
20,11,10,13,26,black
19,10,9,14,24,black
21,10,10,14,29,black
20,11,11,13,25,black
19,11,10,14,22,black
22,10,11,14,31,black
20,11,10,14,25,black
19,10,9,14,24,black
21,10,10,14,29,black
20,10,10,13,27,black
19,10,9,14,24,black
20,10,11,14,25,black
20,11,11,15,23,black
19,11,9,14,23,black
19,10,9,14,24,black
20,10,10,15,25,black
19,11,10,13,23,black
20,10,9,14,27,black
22,10,12,15,29,black
19,11,11,13,22,black
21,9,11,14,29,black
22,10,11,15,30,black
20,10,9,14,27,black
19,11,9,14,23,black
20,10,11,15,24,black
20,11,10,13,26,black
19,10,9,14,24,black
21,10,11,14,28,black
20,11,11,13,25,black
19,11,10,14,22,black
21,9,11,15,28,black
21,11,11,15,26,black
19,11,10,13,23,black
21,10,11,14,28,black
20,11,10,14,25,black
20,10,10,14,26,black
21,11,11,15,26,black
19,10,9,14,24,black
20,10,10,14,26,black
21,10,10,13,30,black
19,11,9,14,23,black
20,10,11,14,25,black
20,11,11,14,24,black
19,11,9,14,23,black
20,10,9,14,27,black
21,10,11,15,27,black
19,11,10,13,23,black
19,11,9,14,23,black
21,9,11,14,29,black
22,11,11,15,29,black
19,10,9,14,24,black
19,11,9,14,23,black
20,10,11,15,24,black
20,11,11,14,24,black
19,11,10,14,22,black
22,10,11,15,30,black
19,11,10,13,23,black
20,10,9,14,27,black
22,10,11,14,31,black
20,11,11,13,25,black
19,10,9,14,24,black
22,11,11,15,29,black
19,11,11,13,22,black
19,10,10,14,23,black
21,10,11,15,27,black
19,11,9,14,23,black
19,11,9,14,23,black
19,10,9,14,24,black
21,10,11,14,28,black
20,12,10,14,24,black
19,10,9,14,24,black
21,10,10,14,29,black
21,11,10,14,28,black
19,11,10,14,22,black
21,10,11,15,27,black
